time,open,close,low,high,volume
1714608000,0.79900000,0.78000000,0.77800000,0.80900000,6019141.90000000
1714611600,0.78000000,0.77600000,0.76500000,0.78700000,5352431.71000000
1714615200,0.77600000,0.77200000,0.76600000,0.77900000,3121611.68000000
1714618800,0.77300000,0.77700000,0.77100000,0.78100000,2798726.27000000
1714622400,0.77600000,0.77900000,0.77400000,0.78500000,1826226.69000000
1714626000,0.77800000,0.77700000,0.76700000,0.77900000,2988634.09000000
1714629600,0.77700000,0.78100000,0.77500000,0.78400000,2737417.08000000
1714633200,0.78100000,0.78900000,0.78100000,0.79800000,4716442.87000000
1714636800,0.78900000,0.79300000,0.78500000,0.80000000,3545656.90000000
1714640400,0.79200000,0.79500000,0.78400000,0.79600000,3279508.66000000
1714644000,0.79500000,0.81400000,0.79400000,0.81700000,6893740.37000000
1714647600,0.81400000,0.81400000,0.80800000,0.83000000,25063206.80000000
1714651200,0.81500000,0.81700000,0.81100000,0.83000000,11127782.23000000
1714654800,0.81700000,0.80700000,0.80400000,0.83000000,8638302.12000000
1714658400,0.80800000,0.81700000,0.80300000,0.82300000,8538461.76000000
1714662000,0.81700000,0.81700000,0.81400000,0.83200000,9043141.61000000
1714665600,0.81700000,0.80900000,0.80400000,0.81900000,6716232.60000000
1714669200,0.80800000,0.81700000,0.80700000,0.81900000,4402639.48000000
1714672800,0.81700000,0.81400000,0.81300000,0.82300000,4322386.88000000
1714676400,0.81400000,0.81700000,0.81000000,0.81800000,3000193.23000000
1714680000,0.81700000,0.80000000,0.79800000,0.81800000,3817288.99000000
1714683600,0.79900000,0.80700000,0.79800000,0.81500000,2438182.05000000
1714687200,0.80700000,0.80500000,0.80200000,0.81300000,3817550.95000000
1714690800,0.80500000,0.79800000,0.79600000,0.80700000,3042722.02000000
1714694400,0.79700000,0.79800000,0.79000000,0.80100000,4261407.26000000
1714698000,0.79800000,0.80800000,0.79600000,0.81400000,4834741.77000000
1714701600,0.80900000,0.81100000,0.80600000,0.82000000,4560141.17000000
1714705200,0.81100000,0.81300000,0.81000000,0.81800000,3138095.76000000
1714708800,0.81200000,0.80500000,0.80200000,0.81600000,4023269.06000000
1714712400,0.80600000,0.80300000,0.80200000,0.81100000,3520859.46000000
1714716000,0.80400000,0.79800000,0.79500000,0.80600000,4975863.57000000
1714719600,0.79900000,0.79500000,0.79300000,0.80300000,3144420.10000000
1714723200,0.79400000,0.79700000,0.79300000,0.80100000,3195284.87000000
1714726800,0.79700000,0.79800000,0.79600000,0.80200000,2359630.85000000
1714730400,0.79800000,0.78900000,0.78500000,0.79900000,5187865.50000000
1714734000,0.78800000,0.79200000,0.78300000,0.79400000,4010623.05000000
1714737600,0.79100000,0.81000000,0.78600000,0.81800000,12338044.86000000
1714741200,0.81000000,0.82200000,0.80900000,0.82300000,11822024.67000000
1714744800,0.82200000,0.83600000,0.81400000,0.84400000,14298856.64000000
1714748400,0.83600000,0.84300000,0.82400000,0.84500000,8055998.82000000
1714752000,0.84300000,0.85500000,0.84300000,0.87800000,15659682.33000000
1714755600,0.85500000,0.85400000,0.85000000,0.86100000,8251334.13000000
1714759200,0.85400000,0.84700000,0.84200000,0.85700000,4689974.16000000
1714762800,0.84600000,0.85400000,0.84000000,0.85500000,4871770.27000000
1714766400,0.85400000,0.85700000,0.84800000,0.86300000,7233285.46000000
1714770000,0.85700000,0.85800000,0.85000000,0.86000000,4408984.40000000
1714773600,0.85800000,0.85500000,0.85000000,0.86000000,4604616.93000000
1714777200,0.85400000,0.85200000,0.84800000,0.85800000,3749825.50000000
1714780800,0.85200000,0.85000000,0.84400000,0.85700000,6220017.19000000
1714784400,0.85100000,0.83600000,0.83300000,0.85300000,6501713.62000000
1714788000,0.83600000,0.82700000,0.82000000,0.83800000,7471235.88000000
1714791600,0.82700000,0.83400000,0.82500000,0.83500000,6400333.15000000
1714795200,0.83300000,0.84200000,0.83100000,0.84600000,4302682.92000000
1714798800,0.84300000,0.84400000,0.83400000,0.84500000,3212956.78000000
1714802400,0.84400000,0.83900000,0.83800000,0.85200000,4907944.13000000
1714806000,0.84000000,0.83800000,0.83400000,0.84100000,3416266.03000000
1714809600,0.83800000,0.84800000,0.83700000,0.84900000,3482729.34000000
1714813200,0.84800000,0.86200000,0.84600000,0.86500000,6011784.56000000
1714816800,0.86200000,0.87300000,0.85400000,0.87500000,6061066.39000000
1714820400,0.87300000,0.84400000,0.83900000,0.87300000,13525512.91000000
1714824000,0.84400000,0.85100000,0.83800000,0.85200000,7121752.90000000
1714827600,0.85000000,0.83800000,0.82800000,0.85000000,6717246.63000000
1714831200,0.83700000,0.83500000,0.83200000,0.84100000,3512628.03000000
1714834800,0.83600000,0.83700000,0.83100000,0.83800000,4461816.37000000
1714838400,0.83600000,0.83100000,0.82700000,0.83800000,5808770.01000000
1714842000,0.83100000,0.82800000,0.82300000,0.83200000,6383838.83000000
1714845600,0.82900000,0.83500000,0.82600000,0.83700000,1909188.35000000
1714849200,0.83500000,0.83900000,0.83100000,0.84300000,2203894.09000000
1714852800,0.84000000,0.83900000,0.83400000,0.84300000,2611702.00000000
1714856400,0.84000000,0.83600000,0.83000000,0.84500000,2656734.19000000
1714860000,0.83600000,0.83100000,0.82900000,0.83800000,2642394.97000000
1714863600,0.83100000,0.82800000,0.82500000,0.83200000,2628100.59000000
1714867200,0.82800000,0.82000000,0.81400000,0.83200000,6468681.07000000
1714870800,0.82000000,0.80700000,0.79600000,0.82100000,7089216.02000000
1714874400,0.80700000,0.79800000,0.79700000,0.81100000,3372214.94000000
1714878000,0.79900000,0.80000000,0.79500000,0.80200000,2932834.44000000
1714881600,0.80000000,0.80300000,0.79600000,0.80400000,2453836.25000000
1714885200,0.80200000,0.80100000,0.80100000,0.81000000,2361057.90000000
1714888800,0.80200000,0.79900000,0.79800000,0.80400000,3007529.89000000
1714892400,0.79900000,0.80200000,0.79800000,0.80700000,3057110.55000000
1714896000,0.80200000,0.81100000,0.80100000,0.81400000,3750486.80000000
1714899600,0.81100000,0.80600000,0.80000000,0.81200000,4201585.03000000
1714903200,0.80500000,0.80300000,0.80000000,0.81100000,3407484.62000000
1714906800,0.80300000,0.80600000,0.80000000,0.81000000,3186968.24000000
1714910400,0.80600000,0.80000000,0.79900000,0.80700000,2599447.88000000
1714914000,0.80000000,0.80700000,0.79600000,0.81200000,5081350.82000000
1714917600,0.80700000,0.80500000,0.79600000,0.80700000,7014680.33000000
1714921200,0.80500000,0.81800000,0.80300000,0.82000000,8170892.32000000
1714924800,0.81800000,0.81700000,0.81100000,0.82300000,4646758.03000000
1714928400,0.81800000,0.81400000,0.81300000,0.82400000,3465626.36000000
1714932000,0.81400000,0.80700000,0.80200000,0.81400000,3122226.38000000
