time,open,close,low,high,volume
1724025600,2610.67000000,2609.97000000,2608.50000000,2611.09000000,3200.33600000
1724025660,2609.98000000,2613.86000000,2609.23000000,2613.86000000,4151.12500000
1724025720,2613.86000000,2612.44000000,2611.38000000,2615.51000000,4347.98900000
1724025780,2612.43000000,2606.68000000,2605.36000000,2612.62000000,6474.48600000
1724025840,2606.68000000,2610.48000000,2602.80000000,2612.00000000,4856.15800000
1724025900,2610.47000000,2606.49000000,2605.77000000,2610.80000000,3182.42700000
1724025960,2606.49000000,2609.07000000,2604.26000000,2610.27000000,2486.36400000
1724026020,2609.06000000,2611.99000000,2608.95000000,2612.53000000,2626.14900000
1724026080,2611.98000000,2610.39000000,2610.00000000,2613.81000000,1926.67600000
1724026140,2610.40000000,2611.74000000,2609.54000000,2611.74000000,1140.92100000
1724026200,2611.74000000,2608.40000000,2607.88000000,2612.72000000,1361.37600000
1724026260,2608.40000000,2608.68000000,2606.00000000,2609.63000000,3141.44600000
1724026320,2608.68000000,2611.36000000,2607.40000000,2611.93000000,2215.17100000
1724026380,2611.35000000,2616.26000000,2611.35000000,2616.50000000,1896.62400000
1724026440,2616.26000000,2625.24000000,2616.00000000,2626.29000000,8234.23900000
1724026500,2625.23000000,2621.99000000,2620.49000000,2625.92000000,5745.96900000
1724026560,2621.99000000,2621.97000000,2621.37000000,2625.14000000,4200.36600000
1724026620,2621.97000000,2620.93000000,2620.00000000,2622.00000000,1460.73300000
1724026680,2620.93000000,2619.39000000,2619.33000000,2622.00000000,816.79700000
1724026740,2619.39000000,2621.11000000,2619.20000000,2621.82000000,1445.04600000
1724026800,2621.11000000,2616.23000000,2616.09000000,2621.11000000,1433.73000000
1724026860,2616.22000000,2604.71000000,2601.80000000,2616.23000000,14625.36400000
1724026920,2604.71000000,2613.48000000,2603.90000000,2614.57000000,4112.49000000
1724026980,2613.47000000,2611.28000000,2610.29000000,2616.07000000,3365.27700000
1724027040,2611.28000000,2608.95000000,2607.71000000,2611.28000000,1057.78500000
1724027100,2608.95000000,2612.09000000,2607.69000000,2613.28000000,1599.55900000
1724027160,2612.08000000,2613.31000000,2609.53000000,2613.56000000,989.51800000
1724027220,2613.31000000,2614.59000000,2612.60000000,2617.12000000,1554.99200000
1724027280,2614.59000000,2615.47000000,2614.00000000,2616.18000000,914.95000000
1724027340,2615.47000000,2614.47000000,2614.05000000,2615.97000000,511.93900000
1724027400,2614.47000000,2614.88000000,2612.60000000,2614.91000000,1516.32400000
1724027460,2614.87000000,2610.01000000,2610.00000000,2614.87000000,1657.26400000
1724027520,2610.00000000,2613.43000000,2607.30000000,2613.74000000,1548.54500000
1724027580,2613.43000000,2613.11000000,2612.14000000,2613.87000000,578.46200000
1724027640,2613.08000000,2614.18000000,2611.50000000,2614.19000000,465.43900000
1724027700,2614.18000000,2614.73000000,2612.97000000,2616.76000000,1395.79500000
1724027760,2614.72000000,2613.40000000,2613.13000000,2615.50000000,1204.93200000
1724027820,2613.40000000,2612.56000000,2611.59000000,2613.92000000,822.15000000
1724027880,2612.56000000,2616.49000000,2611.94000000,2618.00000000,3844.12900000
1724027940,2616.49000000,2616.71000000,2616.09000000,2617.70000000,1835.45700000
1724028000,2616.71000000,2614.04000000,2613.03000000,2617.11000000,946.56300000
1724028060,2614.05000000,2613.05000000,2612.89000000,2614.07000000,325.49300000
1724028120,2613.06000000,2612.75000000,2612.45000000,2613.38000000,405.03000000
1724028180,2612.76000000,2615.88000000,2612.05000000,2615.88000000,927.16600000
1724028240,2615.88000000,2616.60000000,2614.23000000,2617.04000000,722.33300000
1724028300,2616.60000000,2614.12000000,2614.12000000,2616.94000000,1024.52800000
1724028360,2614.12000000,2617.34000000,2613.76000000,2617.35000000,703.28000000
1724028420,2617.34000000,2619.27000000,2616.76000000,2619.44000000,2600.01600000
1724028480,2619.27000000,2617.78000000,2617.42000000,2619.27000000,1389.32500000
1724028540,2617.78000000,2618.52000000,2617.63000000,2618.92000000,734.90300000
1724028600,2618.51000000,2616.33000000,2615.50000000,2618.52000000,1038.54900000
1724028660,2616.33000000,2615.27000000,2615.00000000,2616.64000000,894.57200000
1724028720,2615.28000000,2613.28000000,2613.01000000,2615.44000000,2272.74700000
1724028780,2613.28000000,2614.77000000,2612.62000000,2615.00000000,670.77500000
1724028840,2614.78000000,2616.94000000,2614.64000000,2617.14000000,686.78900000
1724028900,2616.95000000,2614.73000000,2613.50000000,2616.95000000,655.56100000
1724028960,2614.74000000,2615.92000000,2614.45000000,2616.15000000,378.17900000
1724029020,2615.91000000,2612.67000000,2612.55000000,2616.07000000,1039.61100000
1724029080,2612.66000000,2610.06000000,2608.37000000,2612.67000000,3596.41300000
1724029140,2610.06000000,2611.04000000,2608.30000000,2611.05000000,1160.36100000
1724029200,2611.04000000,2612.18000000,2609.13000000,2612.80000000,1532.84700000
1724029260,2612.18000000,2615.13000000,2612.00000000,2615.13000000,1285.83600000
1724029320,2615.12000000,2614.78000000,2613.72000000,2615.47000000,714.43100000
1724029380,2614.79000000,2616.17000000,2614.56000000,2616.86000000,639.07500000
1724029440,2616.18000000,2616.93000000,2614.75000000,2616.93000000,712.70000000
1724029500,2616.92000000,2615.10000000,2615.10000000,2616.99000000,649.18900000
1724029560,2615.11000000,2615.36000000,2612.53000000,2615.37000000,2911.67800000
1724029620,2615.36000000,2619.39000000,2614.87000000,2619.39000000,2011.68900000
1724029680,2619.40000000,2618.88000000,2618.40000000,2620.56000000,2430.76500000
1724029740,2618.89000000,2615.06000000,2615.06000000,2618.89000000,1122.80600000
1724029800,2615.06000000,2612.80000000,2611.57000000,2615.07000000,956.34200000
1724029860,2612.80000000,2611.83000000,2610.69000000,2612.80000000,1033.75800000
1724029920,2611.83000000,2616.00000000,2611.62000000,2616.00000000,782.38600000
1724029980,2616.00000000,2621.30000000,2615.96000000,2621.30000000,1935.86600000
1724030040,2621.29000000,2619.04000000,2618.59000000,2621.30000000,1337.37900000
1724030100,2619.01000000,2620.18000000,2617.43000000,2620.49000000,1156.37800000
1724030160,2620.17000000,2618.66000000,2618.00000000,2620.64000000,614.97400000
1724030220,2618.67000000,2619.13000000,2618.04000000,2620.59000000,786.26900000
1724030280,2619.13000000,2619.01000000,2617.69000000,2619.83000000,577.57400000
1724030340,2619.01000000,2617.76000000,2615.67000000,2619.22000000,1106.31900000
1724030400,2617.75000000,2616.94000000,2615.20000000,2617.75000000,506.71800000
1724030460,2616.94000000,2616.08000000,2615.04000000,2617.16000000,694.08900000
1724030520,2616.08000000,2614.94000000,2614.41000000,2616.08000000,777.94400000
1724030580,2614.95000000,2616.44000000,2614.24000000,2616.44000000,801.23500000
1724030640,2616.43000000,2618.08000000,2615.63000000,2620.09000000,2070.83400000
1724030700,2618.08000000,2615.67000000,2614.50000000,2618.08000000,610.46400000
1724030760,2615.67000000,2617.34000000,2614.72000000,2617.55000000,1111.51900000
1724030820,2617.35000000,2616.23000000,2615.91000000,2618.25000000,325.28400000
1724030880,2616.23000000,2617.78000000,2615.76000000,2617.86000000,344.91100000
1724030940,2617.78000000,2619.58000000,2617.78000000,2619.95000000,391.30000000
1724031000,2619.59000000,2620.38000000,2617.85000000,2621.75000000,1456.52500000
1724031060,2620.38000000,2623.18000000,2620.09000000,2623.31000000,1426.42000000
1724031120,2623.18000000,2622.43000000,2622.00000000,2623.91000000,2899.37800000
1724031180,2622.42000000,2624.61000000,2622.00000000,2626.00000000,1624.63400000
1724031240,2624.61000000,2625.69000000,2624.60000000,2626.66000000,1650.72400000
1724031300,2625.69000000,2629.44000000,2624.72000000,2631.16000000,11915.43900000
1724031360,2629.44000000,2627.44000000,2625.52000000,2629.45000000,1370.41100000
1724031420,2627.44000000,2628.61000000,2626.39000000,2629.46000000,1593.18200000
1724031480,2628.60000000,2627.72000000,2627.71000000,2630.37000000,1917.87100000
1724031540,2627.71000000,2637.57000000,2626.49000000,2638.87000000,20957.58900000
1724031600,2637.56000000,2632.10000000,2631.99000000,2637.81000000,2811.36400000
1724031660,2632.10000000,2634.59000000,2632.10000000,2637.27000000,2475.86900000
1724031720,2634.63000000,2635.28000000,2633.36000000,2635.28000000,1051.95300000
1724031780,2635.32000000,2634.23000000,2633.25000000,2635.51000000,968.60100000
1724031840,2634.23000000,2633.26000000,2633.25000000,2634.84000000,902.10400000
1724031900,2633.25000000,2630.90000000,2630.86000000,2634.16000000,904.93900000
1724031960,2630.90000000,2628.43000000,2628.17000000,2630.90000000,2879.36200000
1724032020,2628.42000000,2627.85000000,2627.66000000,2629.87000000,709.47700000
1724032080,2627.85000000,2631.56000000,2627.85000000,2632.11000000,1661.61200000
1724032140,2631.56000000,2631.44000000,2631.32000000,2632.73000000,810.74500000
1724032200,2631.44000000,2630.21000000,2629.82000000,2632.00000000,557.65900000
1724032260,2630.22000000,2628.89000000,2628.58000000,2630.35000000,785.12400000
1724032320,2628.89000000,2627.58000000,2627.22000000,2629.07000000,561.49900000
1724032380,2627.58000000,2628.30000000,2627.02000000,2628.87000000,860.37100000
1724032440,2628.30000000,2625.20000000,2624.69000000,2628.69000000,1282.44200000
1724032500,2625.20000000,2627.12000000,2624.96000000,2627.36000000,1161.53700000
1724032560,2627.12000000,2627.76000000,2626.80000000,2628.03000000,457.83400000
1724032620,2627.76000000,2629.32000000,2627.75000000,2629.63000000,802.04900000
1724032680,2629.32000000,2629.18000000,2628.86000000,2630.20000000,818.81200000
1724032740,2629.19000000,2630.28000000,2629.19000000,2630.40000000,322.26800000
1724032800,2630.28000000,2629.15000000,2628.80000000,2630.37000000,885.85200000
1724032860,2629.16000000,2628.68000000,2627.58000000,2629.16000000,959.24000000
1724032920,2628.67000000,2627.89000000,2627.44000000,2628.82000000,1032.61600000
1724032980,2627.89000000,2628.87000000,2627.56000000,2628.88000000,665.50500000
1724033040,2628.87000000,2627.95000000,2627.95000000,2629.00000000,259.66600000
1724033100,2627.95000000,2629.78000000,2627.16000000,2630.00000000,506.59200000
1724033160,2629.79000000,2630.84000000,2629.35000000,2630.84000000,1049.09500000
1724033220,2630.84000000,2630.61000000,2630.00000000,2630.88000000,247.30700000
1724033280,2630.60000000,2632.78000000,2630.34000000,2633.08000000,2004.24900000
1724033340,2632.77000000,2631.08000000,2631.02000000,2633.12000000,994.24600000
1724033400,2631.08000000,2628.92000000,2628.72000000,2631.08000000,490.78100000
1724033460,2628.93000000,2627.91000000,2627.65000000,2628.93000000,440.31700000
1724033520,2627.91000000,2629.40000000,2627.91000000,2629.64000000,1099.84000000
1724033580,2629.41000000,2628.25000000,2627.72000000,2629.75000000,473.95900000
1724033640,2628.26000000,2629.97000000,2628.07000000,2629.97000000,508.39700000
1724033700,2630.00000000,2629.30000000,2629.20000000,2631.00000000,727.50000000
1724033760,2629.30000000,2626.84000000,2625.66000000,2629.97000000,3421.00800000
1724033820,2626.84000000,2629.66000000,2626.46000000,2629.84000000,409.47500000
1724033880,2629.66000000,2630.70000000,2629.65000000,2631.08000000,467.77000000
1724033940,2630.70000000,2631.99000000,2630.69000000,2632.25000000,583.39400000
1724034000,2632.00000000,2633.08000000,2631.99000000,2633.09000000,659.45500000
1724034060,2633.08000000,2631.26000000,2631.06000000,2633.08000000,581.17300000
1724034120,2631.27000000,2629.86000000,2629.38000000,2631.27000000,824.58400000
1724034180,2629.86000000,2631.30000000,2629.86000000,2631.46000000,1341.30800000
1724034240,2631.30000000,2631.78000000,2630.08000000,2631.91000000,443.82100000
1724034300,2631.78000000,2632.36000000,2631.77000000,2632.37000000,308.42000000
1724034360,2632.36000000,2634.00000000,2632.36000000,2634.03000000,1330.71800000
1724034420,2634.00000000,2634.50000000,2633.19000000,2634.50000000,1135.83200000
1724034480,2634.50000000,2632.50000000,2632.50000000,2634.55000000,358.35200000
1724034540,2632.50000000,2634.06000000,2632.50000000,2635.25000000,2132.20900000
1724034600,2634.06000000,2635.96000000,2634.06000000,2636.35000000,911.00100000
1724034660,2635.97000000,2636.55000000,2635.25000000,2636.55000000,634.09700000
1724034720,2636.56000000,2641.93000000,2636.56000000,2643.45000000,5153.94500000
1724034780,2641.93000000,2638.65000000,2638.62000000,2641.93000000,1617.19800000
1724034840,2638.65000000,2637.33000000,2637.32000000,2638.69000000,621.33500000
1724034900,2637.33000000,2635.90000000,2635.50000000,2637.44000000,770.98700000
1724034960,2635.90000000,2638.59000000,2635.55000000,2638.69000000,1179.57900000
1724035020,2638.59000000,2636.80000000,2636.61000000,2639.04000000,740.82000000
1724035080,2636.79000000,2634.95000000,2634.71000000,2636.79000000,652.16100000
1724035140,2634.95000000,2633.97000000,2633.24000000,2634.95000000,719.78100000
1724035200,2633.98000000,2633.11000000,2632.66000000,2634.69000000,821.64800000
1724035260,2633.11000000,2632.42000000,2632.22000000,2633.65000000,546.17100000
1724035320,2632.41000000,2630.99000000,2630.95000000,2632.69000000,600.43100000
1724035380,2631.00000000,2630.65000000,2630.65000000,2632.43000000,1070.80400000
1724035440,2630.66000000,2632.15000000,2630.66000000,2632.15000000,532.51800000
1724035500,2632.15000000,2631.32000000,2631.08000000,2633.40000000,534.25300000
1724035560,2631.33000000,2634.16000000,2631.32000000,2634.48000000,747.21800000
1724035620,2634.16000000,2634.54000000,2633.68000000,2635.26000000,603.48300000
1724035680,2634.54000000,2632.31000000,2632.30000000,2635.14000000,455.27700000
1724035740,2632.30000000,2633.57000000,2632.30000000,2635.26000000,2113.81300000
1724035800,2633.57000000,2634.66000000,2633.57000000,2635.30000000,534.98700000
1724035860,2634.66000000,2635.26000000,2634.41000000,2635.48000000,617.37100000
1724035920,2635.26000000,2635.91000000,2634.58000000,2636.00000000,365.67600000
1724035980,2635.93000000,2637.56000000,2635.92000000,2637.85000000,576.56000000
1724036040,2637.57000000,2638.38000000,2637.56000000,2638.39000000,332.72800000
1724036100,2638.39000000,2638.24000000,2637.89000000,2639.47000000,899.97700000
1724036160,2638.23000000,2639.18000000,2637.97000000,2639.93000000,1287.67800000
1724036220,2639.17000000,2640.32000000,2639.13000000,2640.32000000,1212.67400000
1724036280,2640.32000000,2639.49000000,2639.08000000,2640.40000000,502.81800000
1724036340,2639.50000000,2638.06000000,2638.06000000,2640.40000000,469.13700000
1724036400,2638.06000000,2637.98000000,2636.39000000,2639.39000000,3716.02800000
1724036460,2637.98000000,2636.96000000,2636.28000000,2637.99000000,1374.50000000
1724036520,2636.95000000,2637.29000000,2636.41000000,2638.44000000,389.82200000
1724036580,2637.28000000,2640.56000000,2636.96000000,2640.99000000,690.33000000
1724036640,2640.55000000,2643.05000000,2640.55000000,2643.60000000,2362.03300000
1724036700,2643.04000000,2641.29000000,2640.73000000,2643.04000000,1034.19200000
1724036760,2641.29000000,2639.88000000,2639.25000000,2641.29000000,770.39000000
1724036820,2639.87000000,2640.82000000,2639.87000000,2641.03000000,1903.63800000
1724036880,2640.81000000,2639.57000000,2638.90000000,2641.07000000,607.69100000
