time,open,close,low,high,volume
1713657600,3154.30000000,3165.01000000,3124.78000000,3196.41000000,328995.23000000
1713672000,3165.01000000,3177.92000000,3150.02000000,3189.99000000,258929.89000000
1713686400,3177.92000000,3167.02000000,3152.04000000,3185.81000000,217631.57800000
1713700800,3167.01000000,3158.23000000,3134.79000000,3175.73000000,264033.31400000
1713715200,3158.22000000,3135.73000000,3114.15000000,3160.69000000,314690.18100000
1713729600,3135.72000000,3145.73000000,3127.75000000,3168.49000000,190885.64600000
1713744000,3145.74000000,3189.23000000,3127.14000000,3210.90000000,489670.00900000
1713758400,3189.15000000,3202.57000000,3182.61000000,3235.00000000,361532.77600000
1713772800,3202.56000000,3193.04000000,3186.01000000,3222.96000000,283133.02200000
1713787200,3193.04000000,3182.04000000,3164.16000000,3210.48000000,384412.81700000
1713801600,3182.04000000,3186.56000000,3167.17000000,3216.78000000,309177.33700000
1713816000,3186.56000000,3198.66000000,3182.06000000,3223.00000000,219514.90100000
1713830400,3198.66000000,3182.19000000,3179.32000000,3221.85000000,200051.81200000
1713844800,3182.18000000,3158.93000000,3150.31000000,3192.32000000,258093.19800000
1713859200,3158.93000000,3178.63000000,3151.02000000,3184.38000000,197215.13900000
1713873600,3178.63000000,3224.48000000,3171.49000000,3266.91000000,604715.94600000
1713888000,3224.48000000,3217.27000000,3211.50000000,3245.86000000,210317.90400000
1713902400,3217.27000000,3218.04000000,3184.40000000,3222.12000000,192712.37900000
1713916800,3218.03000000,3236.60000000,3208.55000000,3247.50000000,216687.18600000
1713931200,3236.60000000,3248.40000000,3235.25000000,3274.00000000,268500.23700000
1713945600,3248.40000000,3280.15000000,3240.06000000,3286.00000000,295761.94000000
1713960000,3280.15000000,3174.60000000,3165.00000000,3293.38000000,818163.90300000
1713974400,3174.59000000,3133.25000000,3102.50000000,3192.27000000,601815.74000000
1713988800,3133.25000000,3138.84000000,3110.11000000,3151.34000000,281898.27300000
1714003200,3138.84000000,3145.68000000,3125.00000000,3169.98000000,281290.79100000
1714017600,3145.69000000,3134.99000000,3124.26000000,3166.48000000,256937.60300000
1714032000,3134.99000000,3110.35000000,3070.16000000,3151.95000000,547821.52200000
1714046400,3110.35000000,3158.83000000,3080.06000000,3168.00000000,753653.83600000
1714060800,3158.84000000,3164.83000000,3144.11000000,3174.81000000,391626.62800000
1714075200,3164.83000000,3154.44000000,3150.92000000,3189.97000000,216745.53800000
1714089600,3154.44000000,3140.41000000,3122.68000000,3163.30000000,265219.13100000
1714104000,3140.42000000,3133.48000000,3127.04000000,3152.62000000,224812.53100000
1714118400,3133.48000000,3127.57000000,3120.01000000,3156.68000000,249190.80000000
1714132800,3127.54000000,3116.44000000,3100.38000000,3167.20000000,634145.07400000
1714147200,3116.45000000,3132.67000000,3103.52000000,3154.45000000,258819.92600000
1714161600,3132.67000000,3129.98000000,3118.17000000,3152.80000000,132128.65400000
1714176000,3129.98000000,3120.72000000,3062.80000000,3137.64000000,509645.39500000
1714190400,3120.72000000,3119.12000000,3104.70000000,3132.00000000,166719.48100000
1714204800,3119.15000000,3123.35000000,3106.12000000,3127.00000000,164525.30000000
1714219200,3123.36000000,3143.30000000,3120.16000000,3165.44000000,351881.35900000
1714233600,3143.29000000,3235.83000000,3141.01000000,3283.54000000,799319.90600000
1714248000,3235.83000000,3253.97000000,3220.46000000,3262.30000000,207722.04600000
1714262400,3253.97000000,3307.65000000,3248.80000000,3329.00000000,415020.72800000
1714276800,3307.65000000,3316.27000000,3298.17000000,3340.86000000,268685.49200000
1714291200,3316.26000000,3285.03000000,3272.56000000,3323.76000000,342423.19300000
1714305600,3285.03000000,3319.24000000,3282.27000000,3327.78000000,330067.61100000
1714320000,3319.23000000,3315.37000000,3306.15000000,3365.69000000,306127.35500000
1714334400,3315.36000000,3262.28000000,3251.00000000,3319.93000000,337556.88500000
1714348800,3262.29000000,3176.94000000,3166.75000000,3286.29000000,658172.20300000
1714363200,3176.95000000,3186.93000000,3150.00000000,3208.99000000,535850.02300000
1714377600,3186.93000000,3158.24000000,3144.80000000,3194.56000000,382203.45500000
1714392000,3158.23000000,3181.07000000,3113.02000000,3185.12000000,754828.04200000
1714406400,3181.06000000,3184.68000000,3153.32000000,3188.71000000,293632.39200000
1714420800,3184.69000000,3215.27000000,3162.22000000,3234.52000000,335449.23400000
1714435200,3215.28000000,3179.62000000,3148.00000000,3250.00000000,575220.34800000
1714449600,3179.62000000,3155.66000000,3150.60000000,3184.56000000,225450.42400000
1714464000,3155.66000000,3005.93000000,3002.17000000,3160.69000000,1111346.13000000
1714478400,3005.94000000,2992.67000000,2963.33000000,3037.17000000,998305.99900000
1714492800,2992.66000000,2927.60000000,2918.33000000,2997.45000000,880790.78900000
1714507200,2927.61000000,3012.58000000,2926.44000000,3027.91000000,487374.74600000
1714521600,3012.57000000,3002.93000000,2958.00000000,3021.94000000,392606.12300000
1714536000,3002.93000000,2868.49000000,2851.00000000,3012.89000000,889746.13400000
1714550400,2868.48000000,2904.19000000,2814.44000000,2904.83000000,861732.87500000
1714564800,2904.19000000,2884.31000000,2864.16000000,2932.70000000,637099.99400000
1714579200,2884.32000000,2924.80000000,2866.78000000,3014.94000000,1136833.28700000
1714593600,2924.79000000,2970.61000000,2912.34000000,2983.98000000,359368.89400000
1714608000,2970.61000000,2928.00000000,2890.00000000,2980.67000000,412116.66100000
1714622400,2928.00000000,2919.88000000,2896.28000000,2937.36000000,255425.61500000
1714636800,2919.89000000,2994.44000000,2915.09000000,3007.64000000,508371.84100000
1714651200,2994.44000000,2988.65000000,2951.08000000,3012.00000000,571301.54400000
1714665600,2988.66000000,2998.45000000,2970.00000000,3006.00000000,297277.99200000
1714680000,2998.44000000,2984.80000000,2967.54000000,3016.38000000,248519.12400000
1714694400,2984.80000000,3008.32000000,2976.00000000,3035.00000000,294218.82400000
1714708800,3008.31000000,2967.83000000,2957.20000000,3015.96000000,260623.35000000
1714723200,2967.83000000,2978.40000000,2956.86000000,2989.63000000,274563.50500000
1714737600,2978.39000000,3074.12000000,2967.77000000,3085.57000000,905376.00800000
1714752000,3074.12000000,3070.69000000,3060.89000000,3086.97000000,245421.37000000
1714766400,3070.69000000,3100.83000000,3066.91000000,3126.44000000,375358.77500000
1714780800,3100.83000000,3110.96000000,3090.75000000,3129.00000000,219044.18100000
1714795200,3110.96000000,3094.79000000,3093.37000000,3122.26000000,161959.21400000
1714809600,3094.80000000,3129.40000000,3094.37000000,3167.45000000,388807.65200000
1714824000,3129.40000000,3125.23000000,3113.22000000,3158.02000000,267154.60200000
1714838400,3125.24000000,3136.02000000,3112.00000000,3139.46000000,156716.24900000
1714852800,3136.03000000,3115.46000000,3102.66000000,3146.13000000,177972.07200000
1714867200,3115.46000000,3085.60000000,3071.10000000,3125.68000000,333030.47400000
1714881600,3085.60000000,3103.98000000,3078.83000000,3113.79000000,159673.22900000
1714896000,3103.97000000,3136.56000000,3101.99000000,3171.15000000,385969.31100000
1714910400,3136.56000000,3159.07000000,3125.00000000,3166.98000000,341780.46600000
1714924800,3159.08000000,3141.23000000,3128.06000000,3164.85000000,213183.10700000
1714939200,3141.23000000,3135.24000000,3120.20000000,3144.99000000,136641.93000000
1714953600,3135.24000000,3133.74000000,3123.00000000,3165.00000000,198610.99800000
1714968000,3133.73000000,3179.10000000,3126.67000000,3191.55000000,361101.33200000
1714982400,3179.10000000,3147.89000000,3128.53000000,3221.95000000,666513.74000000
1714996800,3147.89000000,3088.29000000,3054.67000000,3153.50000000,861610.50200000
1715011200,3088.29000000,3069.32000000,3043.92000000,3096.26000000,396892.73500000
1715025600,3069.31000000,3061.50000000,3059.42000000,3087.87000000,153977.71700000
1715040000,3061.50000000,3048.00000000,3018.00000000,3096.13000000,414472.64100000
1715054400,3047.99000000,3076.19000000,3042.45000000,3081.69000000,240113.33400000
1715068800,3076.20000000,3061.91000000,3057.00000000,3128.59000000,515131.67700000
1715083200,3061.92000000,3070.20000000,3044.03000000,3105.67000000,425428.98100000
1715097600,3070.21000000,3048.66000000,3025.22000000,3078.43000000,252828.17000000
1715112000,3048.75000000,3004.55000000,2996.53000000,3060.98000000,353561.90300000
1715126400,3004.55000000,3030.73000000,2993.00000000,3037.52000000,234879.23400000
1715140800,3030.72000000,2994.23000000,2987.24000000,3034.99000000,336086.47400000
1715155200,2994.22000000,2989.63000000,2976.14000000,3011.62000000,388937.45600000
1715169600,2989.63000000,3006.00000000,2983.73000000,3031.98000000,514728.65600000
1715184000,3005.99000000,2998.36000000,2984.80000000,3024.32000000,213706.70600000
1715198400,2998.36000000,2972.93000000,2930.64000000,3002.82000000,507271.07300000
1715212800,2972.94000000,2996.90000000,2971.03000000,3004.39000000,178045.34000000
1715227200,2996.90000000,2982.37000000,2974.01000000,3014.94000000,220454.29100000
1715241600,2982.37000000,2976.22000000,2949.00000000,2990.98000000,319766.59100000
1715256000,2976.22000000,3004.82000000,2954.52000000,3019.88000000,435456.82700000
1715270400,3004.83000000,3020.23000000,2988.00000000,3025.00000000,300601.47800000
1715284800,3020.23000000,3034.75000000,3013.87000000,3058.23000000,255191.44700000
1715299200,3034.75000000,3027.60000000,3015.56000000,3041.86000000,157795.35700000
1715313600,3027.60000000,3040.39000000,3020.06000000,3053.52000000,186874.87800000
1715328000,3040.40000000,3036.44000000,3020.73000000,3044.00000000,153788.22400000
1715342400,3036.44000000,2917.03000000,2905.00000000,3043.06000000,973610.38300000
1715356800,2917.02000000,2900.47000000,2877.00000000,2933.70000000,615667.38300000
1715371200,2900.47000000,2908.85000000,2885.95000000,2914.56000000,176431.21000000
1715385600,2908.85000000,2910.12000000,2903.03000000,2935.00000000,185437.15900000
1715400000,2910.12000000,2920.90000000,2904.71000000,2926.56000000,107357.33800000
1715414400,2920.89000000,2902.70000000,2884.60000000,2924.00000000,214371.31400000
1715428800,2902.70000000,2924.50000000,2894.30000000,2946.60000000,310326.46100000
1715443200,2924.50000000,2929.59000000,2915.70000000,2940.00000000,173346.09000000
1715457600,2929.59000000,2911.27000000,2905.16000000,2930.02000000,124393.54300000
1715472000,2911.27000000,2919.42000000,2907.57000000,2924.30000000,103896.38800000
1715486400,2919.42000000,2906.54000000,2898.97000000,2931.94000000,157040.58600000
1715500800,2906.53000000,2927.10000000,2901.00000000,2943.38000000,247279.36200000
1715515200,2927.09000000,2936.82000000,2923.81000000,2943.00000000,163381.13000000
1715529600,2936.82000000,2928.66000000,2919.84000000,2954.94000000,226856.72900000
1715544000,2928.66000000,2927.73000000,2911.13000000,2935.36000000,104987.18600000
1715558400,2927.73000000,2889.31000000,2863.80000000,2942.00000000,595245.49700000
1715572800,2889.31000000,2953.09000000,2867.70000000,2958.21000000,504188.45500000
1715587200,2953.08000000,2964.59000000,2946.66000000,2996.44000000,584721.78700000
1715601600,2964.60000000,2960.20000000,2948.08000000,2985.76000000,356790.71600000
1715616000,2960.21000000,2955.69000000,2925.06000000,2977.09000000,343547.09200000
1715630400,2955.69000000,2949.71000000,2937.14000000,2959.00000000,105011.18100000
1715644800,2949.72000000,2939.33000000,2935.28000000,2959.79000000,245286.11100000
1715659200,2939.34000000,2918.75000000,2880.00000000,2948.43000000,438107.87800000
1715673600,2918.75000000,2906.82000000,2896.21000000,2920.24000000,186062.43900000
1715688000,2906.82000000,2897.53000000,2868.14000000,2925.00000000,776376.60900000
1715702400,2897.53000000,2893.11000000,2858.14000000,2899.48000000,310507.57000000
1715716800,2893.11000000,2880.87000000,2877.16000000,2902.24000000,130666.73600000
1715731200,2880.87000000,2901.44000000,2861.71000000,2901.94000000,233803.85500000
1715745600,2901.44000000,2914.55000000,2896.39000000,2920.00000000,217659.33800000
1715760000,2914.56000000,2897.74000000,2885.25000000,2932.99000000,377475.22400000
1715774400,2897.74000000,2975.54000000,2891.13000000,2992.00000000,1025166.46000000
1715788800,2975.54000000,3023.44000000,2968.40000000,3025.43000000,438473.97700000
1715803200,3023.43000000,3030.66000000,3008.32000000,3039.52000000,246362.52000000
1715817600,3030.67000000,3012.25000000,2989.32000000,3039.95000000,365776.63400000
1715832000,3012.25000000,3015.06000000,3002.94000000,3020.38000000,165185.38000000
1715846400,3015.07000000,3005.21000000,2984.50000000,3026.94000000,279982.14300000
1715860800,3005.20000000,2955.53000000,2929.14000000,3009.28000000,699591.22700000
1715875200,2955.53000000,2943.37000000,2923.00000000,2959.68000000,354868.62600000
1715889600,2943.37000000,2943.22000000,2920.93000000,2944.80000000,166150.92600000
1715904000,2943.22000000,2948.84000000,2931.36000000,2955.18000000,170690.71600000
1715918400,2948.84000000,3023.58000000,2938.56000000,3032.71000000,514260.01400000
1715932800,3023.59000000,3029.21000000,3016.15000000,3060.00000000,511777.10400000
1715947200,3029.21000000,3109.85000000,3018.31000000,3116.90000000,888119.10000000
1715961600,3109.85000000,3083.52000000,3066.00000000,3119.00000000,368488.10000000
1715976000,3083.53000000,3090.48000000,3079.18000000,3094.83000000,120537.20400000
1715990400,3090.47000000,3112.93000000,3081.59000000,3125.70000000,282128.40500000
1716004800,3112.94000000,3100.26000000,3088.80000000,3117.64000000,176821.59500000
1716019200,3100.25000000,3132.84000000,3099.05000000,3146.36000000,324588.89100000
1716033600,3132.85000000,3109.26000000,3093.62000000,3134.24000000,336369.99400000
